city_name,date,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,co,dew,humidity,no2,o3,pm10,pm25,precipitation,pressure,so2,temperature,wind gust,wind speed
Amsterdam,2020-03-24,3.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,3.3,-6.0,43.5,10.1,20.4,18.0,51.0,,1030.0,0.6,6.2,8.6,3.8
Amsterdam,2020-03-25,3.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,3.3,-6.0,42.8,10.4,24.9,23.0,61.0,,1027.6,0.7,7.2,8.5,4.0
Amsterdam,2020-03-26,3.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,3.1,-4.5,48.1,7.4,28.6,29.0,72.0,,1024.2,0.8,7.0,10.0,5.0
Amsterdam,2020-03-27,3.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,3.4,0.0,69.0,6.9,27.9,36.0,90.0,,1022.2,0.6,7.7,14.2,6.5
Amsterdam,2020-03-28,3.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,3.0,2.5,74.3,4.2,32.0,32.0,76.0,,1026.0,0.3,7.2,16.0,7.7
Amsterdam,2020-03-29,3.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,2.2,-5.0,59.0,2.1,31.0,15.0,26.0,,1032.6,0.2,5.0,19.6,9.1
Amsterdam,2020-03-30,3.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,2.9,2.5,73.5,6.4,27.1,12.0,25.0,,1032.4,0.2,3.3,6.0,2.9
Amsterdam,2020-03-31,3.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,2.7,-2.5,65.0,5.2,25.6,10.0,21.0,,1030.9,0.2,5.0,9.8,4.0
Amsterdam,2020-04-01,3.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,2.8,1.0,77.0,9.6,26.8,11.0,28.0,,1023.0,0.1,5.7,5.1,2.5
Amsterdam,2020-04-02,3.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,2.8,4.0,79.5,8.5,25.0,15.0,36.0,,1013.0,0.2,8.6,11.3,5.0
Amsterdam,2020-04-03,3.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,2.9,3.5,80.0,8.2,24.4,17.0,28.0,,1015.6,0.2,7.7,7.3,2.6
Amsterdam,2020-04-04,3.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,3.3,0.0,57.6,11.0,22.8,17.0,44.0,,1023.0,0.4,9.5,7.1,4.0
Amsterdam,2020-04-05,3.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,3.2,1.5,50.0,6.4,27.9,21.0,53.0,,1020.5,0.5,14.3,10.3,4.8
Amsterdam,2020-04-06,3.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,3.0,6.0,55.9,8.3,26.2,19.0,52.0,,1016.7,0.6,13.0,12.6,6.0
