id,date,confirmed,deaths,recovered,tests,vaccines,people_vaccinated,people_fully_vaccinated,hosp,icu,vent,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,government_response_index,stringency_index,containment_health_index,economic_support_index,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,population,iso_alpha_3,iso_alpha_2,iso_numeric,iso_currency,key_local,key_google_mobility,key_apple_mobility,key_jhu_csse,key_nuts,key_gadm
7909742a,2020-03-07,98.0,0.0,2.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,11.46,11.11,13.1,0.0,1,Austria,,,47.5162,14.5501,8840521.0,AUT,AT,40.0,EUR,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,Austria,AT,,AUT
7909742a,2020-03-08,126.0,0.0,2.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,11.46,11.11,13.1,0.0,1,Austria,,,47.5162,14.5501,8840521.0,AUT,AT,40.0,EUR,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,Austria,AT,,AUT
7909742a,2020-03-09,148.0,0.0,2.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,16.15,19.44,18.45,0.0,1,Austria,,,47.5162,14.5501,8840521.0,AUT,AT,40.0,EUR,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,Austria,AT,,AUT
7909742a,2020-03-10,203.0,0.0,3.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,16.15,19.44,18.45,0.0,1,Austria,,,47.5162,14.5501,8840521.0,AUT,AT,40.0,EUR,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,Austria,AT,,AUT
7909742a,2020-03-11,311.0,0.0,4.0,,,,,,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,22.4,30.56,25.6,0.0,1,Austria,,,47.5162,14.5501,8840521.0,AUT,AT,40.0,EUR,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,Austria,AT,,AUT
7909742a,2020-03-12,407.0,1.0,7.0,,,,,,,,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,24.48,34.26,27.98,0.0,1,Austria,,,47.5162,14.5501,8840521.0,AUT,AT,40.0,EUR,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,Austria,AT,,AUT
7909742a,2020-03-13,588.0,1.0,7.0,,,,,,,,0.0,1.0,2.0,0.0,1.0,0.0,-2.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,32.29,48.15,36.9,0.0,1,Austria,,,47.5162,14.5501,8840521.0,AUT,AT,40.0,EUR,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,Austria,AT,,AUT
7909742a,2020-03-14,771.0,2.0,10.0,,,,,,,,0.0,1.0,2.0,0.0,1.0,0.0,-2.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,32.29,48.15,36.9,0.0,1,Austria,,,47.5162,14.5501,8840521.0,AUT,AT,40.0,EUR,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,Austria,AT,,AUT
7909742a,2020-03-15,941.0,3.0,14.0,,,,,,,,0.0,1.0,2.0,0.0,1.0,0.0,-2.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,32.29,48.15,36.9,0.0,1,Austria,,,47.5162,14.5501,8840521.0,AUT,AT,40.0,EUR,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,Austria,AT,,AUT
7909742a,2020-03-16,976.0,6.0,25.0,,,,,,,,2.0,3.0,2.0,4.0,1.0,2.0,-2.0,3.0,2.0,1.0,1.0,0.0,0.0,-3.0,62.5,81.48,64.29,50.0,1,Austria,,,47.5162,14.5501,8840521.0,AUT,AT,40.0,EUR,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,Austria,AT,,AUT
7909742a,2020-03-17,1016.0,7.0,27.0,,,,,,,,2.0,3.0,2.0,4.0,1.0,2.0,-2.0,3.0,2.0,1.0,1.0,0.0,0.0,-3.0,62.5,81.48,64.29,50.0,1,Austria,,,47.5162,14.5501,8840521.0,AUT,AT,40.0,EUR,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,Austria,AT,,AUT
7909742a,2020-03-18,1045.0,10.0,29.0,,,,,,,,2.0,3.0,2.0,4.0,1.0,2.0,-2.0,3.0,2.0,1.0,1.0,0.0,0.0,-3.0,62.5,81.48,64.29,50.0,1,Austria,,,47.5162,14.5501,8840521.0,AUT,AT,40.0,EUR,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,Austria,AT,,AUT
7909742a,2020-03-19,1079.0,12.0,33.0,,,,,,,,2.0,3.0,2.0,4.0,1.0,2.0,-2.0,3.0,2.0,1.0,1.0,0.0,0.0,-3.0,67.19,81.48,64.29,87.5,1,Austria,,,47.5162,14.5501,8840521.0,AUT,AT,40.0,EUR,,ChIJfyqdJZsHbUcRr8Hk3XvUEhA,Austria,AT,,AUT
